-0.057,0.065,0.123,-0.004,-0.09,0.094,0.016,0.018,0.133,-0.254,-0.182,-0.189
-0.04,0.078,0.118,-0.019,-0.08,0.098,0.02,0.045,0.182,-0.208,-0.161,-0.18
-0.03,0.093,0.123,-0.031,-0.076,0.108,0.025,0.079,0.246,-0.178,-0.127,-0.164
-0.024,0.094,0.118,-0.035,-0.071,0.106,0.015,0.125,0.34,-0.107,-0.078,-0.131
0.024,0.162,0.138,-0.093,-0.057,0.15,0.012,0.177,0.426,-0.057,-0.06,-0.107
0.049,0.234,0.185,-0.142,-0.068,0.209,0.005,0.249,0.559,0.027,-0.005,-0.067
0.078,0.27,0.193,-0.174,-0.058,0.231,0.0,0.342,0.712,0.139,0.076,-0.011
0.123,0.329,0.206,-0.227,-0.041,0.267,-0.004,0.446,0.864,0.284,0.188,0.074
0.162,0.388,0.226,-0.275,-0.032,0.307,-0.039,0.531,0.997,0.44,0.313,0.17
0.233,0.486,0.252,-0.36,-0.01,0.369,-0.087,0.542,1.025,0.558,0.414,0.251
0.257,0.584,0.327,-0.421,-0.035,0.455,-0.153,0.505,0.998,0.611,0.473,0.302
0.247,0.609,0.362,-0.429,-0.058,0.485,-0.211,0.439,0.935,0.62,0.48,0.319
0.236,0.588,0.352,-0.412,-0.058,0.47,-0.222,0.349,0.793,0.581,0.463,0.317
0.186,0.525,0.339,-0.356,-0.076,0.432,-0.205,0.241,0.621,0.46,0.386,0.252
0.119,0.432,0.313,-0.276,-0.097,0.372,-0.169,0.155,0.432,0.284,0.252,0.145
0.061,0.35,0.288,-0.206,-0.114,0.319,-0.13,0.084,0.267,0.122,0.124,0.047
-0.004,0.272,0.276,-0.134,-0.14,0.273,-0.101,0.013,0.136,-0.016,0.014,-0.034
-0.033,0.234,0.267,-0.101,-0.15,0.25,-0.086,-0.044,0.028,-0.138,-0.085,-0.107
-0.023,0.224,0.247,-0.101,-0.135,0.235,-0.079,-0.089,-0.051,-0.221,-0.148,-0.168
-0.05,0.213,0.263,-0.082,-0.157,0.238,-0.072,-0.122,-0.109,-0.272,-0.18,-0.197
-0.055,0.208,0.263,-0.077,-0.159,0.236,-0.066,-0.143,-0.136,-0.298,-0.206,-0.214
-0.063,0.169,0.233,-0.053,-0.148,0.201,-0.059,-0.143,-0.139,-0.309,-0.215,-0.216
-0.098,0.129,0.227,-0.016,-0.163,0.178,-0.054,-0.137,-0.132,-0.314,-0.22,-0.214
-0.092,0.13,0.221,-0.019,-0.156,0.175,-0.048,-0.133,-0.127,-0.317,-0.223,-0.215
-0.094,0.131,0.225,-0.019,-0.159,0.177,-0.044,-0.126,-0.122,-0.322,-0.225,-0.214
-0.105,0.123,0.228,-0.009,-0.167,0.175,-0.039,-0.121,-0.116,-0.325,-0.229,-0.216
-0.096,0.134,0.23,-0.019,-0.163,0.182,-0.035,-0.116,-0.111,-0.325,-0.23,-0.222
-0.108,0.118,0.226,-0.005,-0.167,0.172,-0.03,-0.112,-0.11,-0.325,-0.227,-0.226
-0.124,0.094,0.218,0.015,-0.172,0.156,-0.026,-0.106,-0.11,-0.325,-0.224,-0.22
-0.099,0.113,0.212,-0.007,-0.156,0.162,-0.04,-0.103,-0.106,-0.325,-0.221,-0.215
-0.067,0.106,0.173,-0.02,-0.12,0.139,-0.041,-0.097,-0.104,-0.321,-0.218,-0.211
-0.057,0.079,0.136,-0.011,-0.096,0.107,-0.031,-0.096,-0.108,-0.317,-0.216,-0.206
-0.072,0.05,0.122,0.011,-0.097,0.086,-0.026,-0.1,-0.114,-0.311,-0.213,-0.202
-0.089,0.015,0.104,0.037,-0.097,0.059,-0.019,-0.1,-0.117,-0.308,-0.21,-0.2
-0.108,-0.008,0.1,0.058,-0.104,0.045,-0.021,-0.105,-0.113,-0.301,-0.21,-0.197
-0.121,-0.021,0.1,0.071,-0.11,0.039,-0.019,-0.103,-0.122,-0.303,-0.21,-0.194
-0.103,-0.003,0.099,0.053,-0.101,0.048,-0.015,-0.118,-0.151,-0.328,-0.21,-0.19
-0.092,0.01,0.102,0.041,-0.097,0.056,-0.015,-0.14,-0.162,-0.336,-0.21,-0.19
-0.076,0.02,0.096,0.028,-0.087,0.058,-0.017,-0.14,-0.167,-0.334,-0.214,-0.195
-0.073,0.04,0.113,0.016,-0.093,0.076,-0.021,-0.14,-0.173,-0.335,-0.221,-0.198
-0.077,0.041,0.117,0.018,-0.097,0.079,-0.024,-0.14,-0.175,-0.335,-0.225,-0.203
-0.084,0.026,0.111,0.029,-0.098,0.068,-0.026,-0.14,-0.179,-0.335,-0.225,-0.205
-0.112,-0.006,0.107,0.059,-0.11,0.051,-0.024,-0.14,-0.182,-0.337,-0.225,-0.208
-0.099,0.022,0.121,0.038,-0.11,0.072,-0.032,-0.148,-0.186,-0.347,-0.225,-0.211
-0.081,0.075,0.156,0.002,-0.118,0.115,-0.046,-0.152,-0.19,-0.346,-0.224,-0.214
-0.085,0.071,0.155,0.006,-0.12,0.113,-0.044,-0.15,-0.194,-0.343,-0.231,-0.22
-0.074,0.078,0.152,-0.002,-0.113,0.115,-0.047,-0.163,-0.193,-0.342,-0.238,-0.218
-0.065,0.084,0.148,-0.01,-0.107,0.116,-0.049,-0.161,-0.187,-0.337,-0.232,-0.209
-0.063,0.091,0.154,-0.014,-0.108,0.122,-0.051,-0.151,-0.182,-0.335,-0.222,-0.201
-0.035,0.125,0.159,-0.045,-0.097,0.142,-0.044,-0.143,-0.18,-0.332,-0.22,-0.192
-0.015,0.138,0.154,-0.062,-0.085,0.146,-0.015,-0.134,-0.16,-0.323,-0.199,-0.187
-0.001,0.14,0.142,-0.07,-0.071,0.141,-0.009,-0.121,-0.138,-0.296,-0.171,-0.162
0.014,0.153,0.139,-0.084,-0.063,0.146,-0.012,-0.112,-0.14,-0.274,-0.169,-0.137
0.009,0.132,0.123,-0.07,-0.057,0.127,-0.027,-0.118,-0.14,-0.273,-0.17,-0.141
0.016,0.085,0.07,-0.051,-0.027,0.077,-0.061,-0.122,-0.143,-0.279,-0.17,-0.144
-0.02,0.024,0.044,-0.002,-0.032,0.034,-0.069,-0.133,-0.146,-0.274,-0.168,-0.147
-0.064,-0.019,0.045,0.041,-0.054,0.013,-0.03,-0.125,-0.144,-0.29,-0.172,-0.151
-0.08,-0.036,0.044,0.058,-0.061,0.004,0.008,-0.141,-0.154,-0.295,-0.175,-0.159
-0.101,-0.079,0.022,0.09,-0.061,-0.028,0.023,-0.128,-0.16,-0.324,-0.192,-0.171
-0.107,-0.096,0.01,0.102,-0.058,-0.043,0.021,-0.148,-0.161,-0.306,-0.178,-0.155
-0.094,-0.1,-0.006,0.097,-0.043,-0.053,0.023,-0.133,-0.154,-0.315,-0.198,-0.173
-0.104,-0.059,0.045,0.081,-0.074,-0.007,0.016,-0.135,-0.179,-0.339,-0.212,-0.18
-0.086,-0.074,0.012,0.08,-0.049,-0.031,0.022,-0.116,-0.149,-0.318,-0.229,-0.211
-0.043,-0.034,0.009,0.039,-0.026,-0.013,0.229,0.406,0.246,-0.351,-0.286,-0.272
0.132,0.124,-0.007,-0.128,0.069,0.058,0.348,0.984,0.978,0.128,0.017,-0.064
0.426,0.66,0.234,-0.543,0.096,0.447,0.074,0.778,1.302,1.135,0.939,0.681
0.32,1.335,1.015,-0.828,-0.348,1.175,-0.338,-0.701,0.702,2.645,1.997,1.429
-0.165,0.798,0.963,-0.317,-0.565,0.881,-0.537,-1.897,-0.985,1.773,1.165,0.859
-0.51,-0.224,0.286,0.366,-0.398,0.031,-0.549,-1.628,-2.356,-1.382,-0.756,-0.35
-0.407,-0.489,-0.082,0.448,-0.163,-0.285,-0.495,-1.023,-1.774,-1.702,-0.995,-0.62
-0.161,-0.337,-0.176,0.249,0.008,-0.256,-0.219,-0.343,-0.676,-0.75,-0.512,-0.38
-0.106,-0.177,-0.071,0.142,-0.018,-0.124,0.012,0.007,-0.175,-0.474,-0.289,-0.233
-0.091,-0.151,-0.06,0.121,-0.015,-0.105,0.06,-0.027,-0.018,-0.278,-0.194,-0.182
-0.064,-0.122,-0.058,0.093,-0.003,-0.09,0.08,0.004,-0.001,-0.319,-0.202,-0.174
-0.062,-0.097,-0.036,0.08,-0.013,-0.066,0.073,0.005,0.047,-0.242,-0.171,-0.16
-0.063,-0.074,-0.011,0.069,-0.026,-0.042,0.074,0.032,0.052,-0.263,-0.177,-0.157
-0.038,-0.032,0.006,0.035,-0.022,-0.012,0.07,0.041,0.092,-0.235,-0.153,-0.146
-0.046,-0.015,0.031,0.03,-0.038,0.008,0.069,0.05,0.11,-0.223,-0.148,-0.142
-0.041,-0.021,0.02,0.031,-0.031,0.0,0.073,0.078,0.161,-0.192,-0.126,-0.132
-0.022,-0.062,-0.04,0.043,0.009,-0.051,0.092,0.122,0.237,-0.125,-0.083,-0.105
-0.032,-0.071,-0.039,0.052,0.004,-0.055,0.106,0.168,0.309,-0.088,-0.047,-0.071
-0.011,-0.042,-0.03,0.027,0.01,-0.036,0.1,0.218,0.41,-0.018,-0.001,-0.037
0.026,0.001,-0.025,-0.013,0.026,-0.012,0.099,0.287,0.516,0.046,0.043,-0.005
0.055,0.04,-0.015,-0.047,0.034,0.012,0.095,0.384,0.667,0.149,0.104,0.041
0.076,0.062,-0.014,-0.068,0.045,0.023,0.092,0.501,0.826,0.269,0.19,0.11
0.117,0.119,0.002,-0.118,0.057,0.06,0.091,0.602,0.978,0.406,0.296,0.193
0.179,0.161,-0.018,-0.17,0.099,0.071,0.081,0.702,1.113,0.567,0.43,0.298
0.239,0.192,-0.048,-0.215,0.144,0.071,0.035,0.715,1.155,0.701,0.55,0.411
0.257,0.261,0.004,-0.259,0.126,0.132,-0.037,0.668,1.129,0.756,0.614,0.47
0.249,0.302,0.054,-0.276,0.097,0.178,-0.09,0.597,1.042,0.752,0.623,0.468
0.249,0.285,0.035,-0.267,0.107,0.16,-0.101,0.488,0.895,0.705,0.584,0.455
0.208,0.199,-0.009,-0.203,0.108,0.094,-0.085,0.392,0.737,0.602,0.519,0.411
0.135,0.099,-0.036,-0.117,0.085,0.031,-0.045,0.298,0.558,0.439,0.392,0.306
0.102,0.038,-0.064,-0.069,0.082,-0.013,-0.006,0.212,0.386,0.264,0.258,0.194
0.062,-0.018,-0.081,-0.022,0.072,-0.049,0.021,0.132,0.242,0.12,0.143,0.098
0.002,-0.072,-0.075,0.035,0.039,-0.073,0.048,0.068,0.135,0.005,0.048,0.032
-0.026,-0.156,-0.13,0.091,0.052,-0.143,0.072,0.059,0.082,-0.056,0.012,0.009
-0.034,-0.248,-0.214,0.141,0.09,-0.231,0.11,0.053,0.053,-0.08,-0.006,-0.008
-0.045,-0.284,-0.239,0.164,0.097,-0.261,0.127,0.05,0.026,-0.099,-0.016,-0.019
-0.048,-0.283,-0.234,0.166,0.093,-0.258,0.126,0.047,0.012,-0.116,-0.022,-0.026
-0.049,-0.277,-0.228,0.163,0.09,-0.252,0.131,0.042,0.007,-0.125,-0.03,-0.031
-0.053,-0.273,-0.219,0.163,0.083,-0.246,0.126,0.04,0.004,-0.125,-0.037,-0.034
-0.053,-0.268,-0.216,0.161,0.081,-0.242,0.125,0.039,0.001,-0.124,-0.044,-0.039
-0.086,-0.262,-0.177,0.175,0.046,-0.219,0.125,0.041,-0.004,-0.129,-0.049,-0.045
-0.095,-0.256,-0.161,0.176,0.033,-0.208,0.124,0.038,-0.004,-0.136,-0.052,-0.055
-0.055,-0.248,-0.193,0.152,0.069,-0.221,0.126,0.049,0.0,-0.134,-0.059,-0.06
-0.053,-0.244,-0.191,0.149,0.069,-0.217,0.124,0.052,0.005,-0.139,-0.066,-0.06
-0.042,-0.227,-0.185,0.135,0.072,-0.206,0.118,0.04,-0.002,-0.153,-0.063,-0.065
-0.045,-0.199,-0.154,0.122,0.055,-0.176,0.111,0.033,-0.023,-0.163,-0.077,-0.065
-0.068,-0.181,-0.113,0.125,0.023,-0.147,0.104,0.023,-0.038,-0.183,-0.092,-0.069
-0.054,-0.172,-0.118,0.113,0.032,-0.145,0.098,0.009,-0.052,-0.194,-0.092,-0.081
-0.048,-0.158,-0.11,0.104,0.031,-0.134,0.09,-0.013,-0.072,-0.205,-0.096,-0.085
-0.054,-0.154,-0.1,0.104,0.023,-0.127,0.097,-0.033,-0.089,-0.212,-0.098,-0.089
-0.055,-0.178,-0.123,0.117,0.034,-0.15,0.111,-0.041,-0.096,-0.208,-0.102,-0.09
-0.05,-0.188,-0.138,0.119,0.044,-0.163,0.113,-0.043,-0.101,-0.218,-0.105,-0.09
-0.047,-0.178,-0.131,0.113,0.042,-0.155,0.11,-0.047,-0.11,-0.228,-0.108,-0.09
-0.049,-0.176,-0.127,0.113,0.039,-0.151,0.107,-0.05,-0.12,-0.233,-0.112,-0.091
-0.053,-0.171,-0.118,0.113,0.032,-0.144,0.105,-0.053,-0.125,-0.237,-0.115,-0.095
-0.051,-0.165,-0.114,0.108,0.031,-0.139,0.101,-0.057,-0.125,-0.241,-0.115,-0.095
-0.067,-0.171,-0.104,0.119,0.019,-0.137,0.1,-0.06,-0.125,-0.245,-0.115,-0.095
-0.078,-0.181,-0.103,0.13,0.012,-0.142,0.096,-0.06,-0.125,-0.245,-0.115,-0.095
-0.056,-0.18,-0.124,0.118,0.034,-0.152,0.09,-0.063,-0.125,-0.245,-0.115,-0.095
-0.054,-0.176,-0.122,0.115,0.034,-0.148,0.085,-0.069,-0.126,-0.245,-0.119,-0.092
-0.058,-0.175,-0.117,0.117,0.03,-0.146,0.079,-0.072,-0.131,-0.245,-0.126,-0.089
-0.06,-0.172,-0.112,0.116,0.027,-0.142,0.073,-0.077,-0.134,-0.245,-0.13,-0.092
-0.075,-0.168,-0.093,0.122,0.009,-0.13,0.07,-0.082,-0.139,-0.245,-0.13,-0.103
-0.084,-0.162,-0.078,0.123,-0.003,-0.12,0.07,-0.083,-0.14,-0.245,-0.13,-0.105
-0.075,-0.159,-0.084,0.117,0.005,-0.121,0.07,-0.076,-0.14,-0.245,-0.13,-0.105
-0.065,-0.154,-0.089,0.11,0.012,-0.122,0.07,-0.072,-0.14,-0.246,-0.131,-0.11
-0.073,-0.149,-0.076,0.111,0.001,-0.112,0.07,-0.067,-0.14,-0.244,-0.127,-0.111
-0.064,-0.135,-0.071,0.1,0.004,-0.103,0.07,-0.062,-0.129,-0.234,-0.126,-0.109
-0.043,-0.095,-0.051,0.069,0.004,-0.073,0.067,-0.058,-0.119,-0.218,-0.122,-0.1
-0.037,-0.099,-0.062,0.068,0.013,-0.08,0.061,-0.05,-0.115,-0.222,-0.119,-0.09
-0.022,-0.081,-0.059,0.052,0.019,-0.069,0.056,-0.044,-0.112,-0.214,-0.119,-0.08
-0.002,-0.022,-0.02,0.012,0.009,-0.02,0.053,-0.034,-0.114,-0.191,-0.084,-0.069
0.025,0.022,-0.002,-0.023,0.013,0.01,0.047,-0.029,-0.118,-0.179,-0.062,-0.056
0.042,0.014,-0.029,-0.028,0.035,-0.008,0.045,-0.012,-0.121,-0.165,-0.069,-0.047
0.035,-0.081,-0.116,0.023,0.076,-0.098,0.053,-0.023,-0.123,-0.177,-0.073,-0.05
0.017,-0.12,-0.137,0.052,0.078,-0.128,0.054,-0.088,-0.133,-0.187,-0.076,-0.049
-0.015,-0.112,-0.097,0.063,0.042,-0.104,0.062,-0.085,-0.141,-0.206,-0.082,-0.057
-0.03,-0.117,-0.087,0.074,0.028,-0.101,0.061,-0.1,-0.161,-0.22,-0.105,-0.084
-0.053,-0.144,-0.09,0.099,0.019,-0.117,0.074,-0.099,-0.175,-0.247,-0.132,-0.099
-0.091,-0.176,-0.084,0.134,-0.003,-0.13,0.082,-0.105,-0.177,-0.241,-0.122,-0.091
-0.085,-0.227,-0.143,0.156,0.029,-0.185,0.092,-0.09,-0.162,-0.229,-0.126,-0.093
-0.086,-0.198,-0.112,0.142,0.014,-0.155,0.095,-0.072,-0.167,-0.249,-0.127,-0.087
-0.087,-0.23,-0.143,0.159,0.028,-0.186,0.096,-0.089,-0.144,-0.206,-0.121,-0.105
-0.058,-0.246,-0.189,0.152,0.066,-0.217,0.29,0.386,0.197,-0.244,-0.18,-0.171
0.095,-0.037,-0.132,-0.029,0.113,-0.084,0.411,0.994,0.892,0.137,0.032,-0.041
0.4,0.513,0.112,-0.456,0.144,0.312,0.161,0.897,1.28,0.999,0.845,0.618
0.357,1.276,0.918,-0.817,-0.281,1.097,-0.272,-0.55,0.771,2.529,1.968,1.433
-0.117,0.939,1.056,-0.411,-0.587,0.998,-0.529,-1.978,-0.866,2.104,1.431,1.051
-0.506,-0.095,0.412,0.3,-0.459,0.158,-0.569,-1.798,-2.387,-1.093,-0.549,-0.201
-0.464,-0.484,-0.019,0.474,-0.222,-0.251,-0.532,-1.15,-1.961,-1.769,-1.018,-0.612
-0.187,-0.346,-0.158,0.267,-0.014,-0.252,-0.27,-0.463,-0.798,-0.757,-0.521,-0.38
-0.099,-0.153,-0.054,0.126,-0.023,-0.103,-0.005,-0.026,-0.243,-0.462,-0.276,-0.21
-0.092,-0.153,-0.062,0.123,-0.015,-0.107,0.064,-0.03,-0.058,-0.24,-0.15,-0.149
-0.08,-0.123,-0.044,0.102,-0.018,-0.083,0.083,0.0,-0.048,-0.287,-0.166,-0.157
-0.087,-0.097,-0.01,0.092,-0.038,-0.053,0.078,0.001,0.004,-0.216,-0.14,-0.13
-0.075,-0.101,-0.026,0.088,-0.024,-0.063,0.075,0.033,0.032,-0.203,-0.137,-0.109
-0.074,-0.081,-0.008,0.078,-0.033,-0.044,0.073,0.049,0.063,-0.187,-0.112,-0.094
-0.067,-0.083,-0.017,0.075,-0.025,-0.05,0.069,0.062,0.095,-0.162,-0.1,-0.087
-0.062,-0.067,-0.006,0.065,-0.028,-0.036,0.071,0.086,0.132,-0.145,-0.085,-0.079
-0.041,-0.05,-0.009,0.046,-0.016,-0.029,0.069,0.108,0.193,-0.094,-0.061,-0.067
-0.007,-0.003,0.004,0.005,-0.006,0.001,0.071,0.154,0.255,-0.065,-0.038,-0.047
0.0,0.04,0.04,-0.021,-0.02,0.04,0.07,0.194,0.343,-0.007,-0.001,-0.029
-0.006,0.054,0.061,-0.024,-0.034,0.058,0.07,0.269,0.458,0.055,0.04,0.006
0.033,0.071,0.038,-0.052,-0.003,0.054,0.082,0.379,0.614,0.165,0.12,0.069
0.092,0.125,0.033,-0.109,0.029,0.079,0.075,0.488,0.768,0.273,0.192,0.122
0.137,0.236,0.098,-0.187,0.019,0.167,0.041,0.584,0.902,0.387,0.274,0.183
0.197,0.33,0.133,-0.264,0.032,0.231,-0.006,0.661,1.019,0.525,0.384,0.27
0.247,0.369,0.122,-0.309,0.062,0.246,-0.051,0.682,1.078,0.653,0.501,0.377
0.287,0.411,0.125,-0.349,0.081,0.268,-0.102,0.653,1.065,0.729,0.579,0.449
0.284,0.434,0.15,-0.359,0.067,0.292,-0.151,0.589,0.989,0.727,0.599,0.468
0.257,0.401,0.145,-0.329,0.056,0.273,-0.167,0.484,0.851,0.697,0.588,0.461
0.229,0.323,0.094,-0.276,0.068,0.208,-0.155,0.37,0.685,0.613,0.523,0.412
0.169,0.184,0.015,-0.177,0.077,0.099,-0.099,0.286,0.519,0.468,0.421,0.332
0.093,0.039,-0.054,-0.066,0.073,-0.007,-0.04,0.219,0.365,0.322,0.306,0.242
0.03,-0.074,-0.104,0.022,0.068,-0.089,-0.002,0.148,0.231,0.182,0.191,0.152
-0.002,-0.167,-0.165,0.085,0.082,-0.166,0.045,0.097,0.134,0.083,0.113,0.088
-0.037,-0.216,-0.179,0.127,0.071,-0.197,0.071,0.073,0.056,0.001,0.052,0.04
-0.053,-0.275,-0.222,0.165,0.085,-0.248,0.093,0.057,0.016,-0.046,0.024,0.018
-0.055,-0.345,-0.29,0.201,0.118,-0.318,0.114,0.053,0.006,-0.05,0.017,0.021
-0.056,-0.352,-0.296,0.204,0.12,-0.323,0.107,0.056,-0.008,-0.066,0.003,0.018
-0.054,-0.347,-0.293,0.201,0.119,-0.32,0.114,0.055,-0.01,-0.072,-0.002,0.015
-0.06,-0.354,-0.293,0.207,0.117,-0.323,0.114,0.06,-0.013,-0.07,-0.01,0.015
-0.059,-0.343,-0.285,0.201,0.113,-0.314,0.122,0.06,-0.016,-0.07,-0.014,0.018
-0.051,-0.359,-0.308,0.205,0.129,-0.333,0.145,0.06,-0.004,-0.07,-0.008,0.032
-0.044,-0.39,-0.345,0.217,0.15,-0.367,0.145,0.071,0.01,-0.07,-0.001,0.041
-0.043,-0.393,-0.35,0.218,0.154,-0.371,0.147,0.069,0.018,-0.07,0.006,0.044
-0.039,-0.392,-0.352,0.216,0.157,-0.372,0.155,0.07,0.014,-0.075,0.012,0.049
-0.05,-0.408,-0.358,0.229,0.155,-0.383,0.165,0.08,0.012,-0.075,0.019,0.048
-0.034,-0.415,-0.38,0.225,0.173,-0.397,0.166,0.073,0.008,-0.076,0.016,0.042
-0.027,-0.421,-0.394,0.225,0.184,-0.407,0.161,0.069,0.005,-0.081,0.009,0.037
-0.05,-0.428,-0.378,0.239,0.164,-0.403,0.16,0.063,0.005,-0.079,0.005,0.033
-0.038,-0.407,-0.369,0.223,0.166,-0.388,0.155,0.057,-0.007,-0.084,-0.001,0.029
-0.043,-0.398,-0.355,0.221,0.157,-0.376,0.155,0.053,-0.023,-0.098,-0.006,0.024
-0.056,-0.394,-0.338,0.225,0.142,-0.366,0.15,0.042,-0.044,-0.107,-0.011,0.02
-0.038,-0.391,-0.354,0.215,0.158,-0.372,0.143,0.033,-0.056,-0.114,-0.019,0.015
-0.034,-0.378,-0.344,0.207,0.155,-0.361,0.139,0.013,-0.065,-0.122,-0.027,0.01
-0.036,-0.348,-0.312,0.192,0.138,-0.33,0.132,-0.008,-0.082,-0.136,-0.035,0.007
-0.023,-0.332,-0.309,0.178,0.143,-0.32,0.128,-0.021,-0.094,-0.142,-0.043,0.001
-0.022,-0.32,-0.298,0.171,0.138,-0.309,0.122,-0.027,-0.104,-0.136,-0.042,0.002
-0.04,-0.326,-0.286,0.183,0.123,-0.306,0.12,-0.023,-0.101,-0.134,-0.034,0.009
-0.058,-0.328,-0.27,0.193,0.106,-0.298,0.12,-0.037,-0.094,-0.129,-0.028,0.013
-0.051,-0.338,-0.287,0.195,0.118,-0.312,0.119,-0.035,-0.091,-0.125,-0.021,0.019
-0.033,-0.396,-0.364,0.215,0.166,-0.38,0.14,-0.015,-0.084,-0.125,-0.014,0.025
-0.042,-0.428,-0.386,0.235,0.172,-0.407,0.152,-0.01,-0.079,-0.125,-0.009,0.03
-0.048,-0.421,-0.373,0.235,0.163,-0.397,0.149,-0.002,-0.073,-0.125,-0.003,0.035
-0.04,-0.441,-0.402,0.241,0.181,-0.421,0.151,0.004,-0.071,-0.125,0.002,0.035
-0.064,-0.47,-0.405,0.267,0.171,-0.437,0.15,0.011,-0.068,-0.125,0.009,0.035
-0.077,-0.468,-0.39,0.273,0.157,-0.429,0.15,0.014,-0.072,-0.124,0.005,0.035
-0.063,-0.443,-0.38,0.253,0.159,-0.411,0.15,0.007,-0.084,-0.12,-0.005,0.035
